verdict	suspect	suspect_count	candidate	candidate_count	freq_ratio	candidate_in_lexicon	confidence
one-known	ΚΥΡΤΑΚΗΣ	1	ΚΥΡΙΑΚΗΣ	3	3.0	True	high
one-known	ΔΕΣΠΟΙΑ	1	ΔΕΣΠΟΤΑ	3	3.0	True	high
one-known	ΔΙΕΡΗ	1	ΔΙΕΤΗ	3	3.0	True	high
one-known	ΣΤΑΜΑΡΗΣ	1	ΣΤΑΜΑΤΗΣ	3	3.0	True	high
one-known	ΝΟΙΑΝ	1	ΠΟΙΑΝ	3	3.0	True	high
neither-known	ΓΕΩΡΓΙΤΣΙΔΝΩΝ	1	ΓΕΩΡΓΙΤΣΙΑΝΩΝ	185	185.0	False	medium
neither-known	ΤΙΑΝΝΑΚΑΚΗΣ	1	ΓΙΑΝΝΑΚΑΚΗΣ	169	169.0	False	medium
neither-known	ΠΕΑΛΑΝΑ	1	ΠΕΛΛΑΝΑ	157	157.0	False	medium
neither-known	ΓΕΛΛΑΝΑ	1	ΠΕΛΛΑΝΑ	157	157.0	False	medium
neither-known	ΠΑΝΑΡ	1	ΠΑΝΑΓ	156	156.0	False	medium
neither-known	ΑΠΟΡΙΑΝΗ	1	ΑΓΟΡΙΑΝΗ	109	109.0	False	medium
neither-known	ΓΕΩΡΓΙΤΣΙΑΝΣΙ	1	ΓΕΩΡΓΙΤΣΙΑΝΟΙ	89	89.0	False	medium
neither-known	ΠΙΑΝΝΑΚΑΚΗΣ	2	ΓΙΑΝΝΑΚΑΚΗΣ	169	84.5	False	medium
neither-known	ΓΙΟΥΖΟΥΛΗ	1	ΓΚΟΥΖΟΥΛΗ	72	72.0	False	medium
neither-known	ΤΣΙΧΑΗΣ	1	ΤΣΙΧΛΗΣ	60	60.0	False	medium
neither-known	ΜΠΕΛΑΝΗΣ	1	ΜΠΟΛΑΝΗΣ	57	57.0	False	medium
neither-known	ΠΙΑΝΝΑΡΗ	1	ΓΙΑΝΝΑΡΗ	57	57.0	False	medium
neither-known	ΓΚΑΝΝΑΡΗ	1	ΓΙΑΝΝΑΡΗ	57	57.0	False	medium
neither-known	ΝΤΕΡΕΣ	1	ΝΤΕΡΟΣ	56	56.0	False	medium
neither-known	ΠΑΝΤΑΞΕΛΟΥ	1	ΠΑΝΤΑΖΕΛΟΥ	55	55.0	False	medium
neither-known	ΒΕΡΤΑΔΟΥ	1	ΒΕΡΓΑΔΟΥ	43	43.0	False	medium
neither-known	ΤΕΙΧΛΗ	1	ΤΣΙΧΛΗ	43	43.0	False	medium
neither-known	ΤΟΙΧΛΗ	1	ΤΣΙΧΛΗ	43	43.0	False	medium
neither-known	ΒΟΝΤΟΣ	1	ΒΟΝΙΟΣ	40	40.0	False	medium
neither-known	ΓΚΟΥΣΟΥΛΗ	2	ΓΚΟΥΖΟΥΛΗ	72	36.0	False	medium
neither-known	ΠΑΡΑΣΚΗ	1	ΠΑΡΑΣΧΗ	29	29.0	False	medium
neither-known	ΡΑΣΙΙΑΣ	1	ΡΑΣΤΙΑΣ	29	29.0	False	medium
neither-known	ΑΛΟΥΤΗΣ	1	ΑΛΟΥΠΗΣ	28	28.0	False	medium
neither-known	ΑΔΟΥΠΗΣ	1	ΑΛΟΥΠΗΣ	28	28.0	False	medium
neither-known	ΜΙΧΑΛΕΠΟΥΛΟΣ	1	ΜΙΧΑΛΟΠΟΥΛΟΣ	27	27.0	False	medium
neither-known	ΔΟΓΓΑΝΙΚΟΣ	1	ΛΟΓΓΑΝΙΚΟΣ	24	24.0	False	medium
neither-known	ΛΟΓΤΑΝΙΚΟΣ	1	ΛΟΓΓΑΝΙΚΟΣ	24	24.0	False	medium
neither-known	ΩΡΛΙΩΤΕΡΟ	1	ΩΡΑΙΩΤΕΡΟ	24	24.0	False	medium
neither-known	ΓΚΟΥΣΟΥΛΗΣ	4	ΓΚΟΥΖΟΥΛΗΣ	90	22.5	False	medium
neither-known	ΠΑΠΑΒΑΝΑΣΟΠΟΥΛΟΥ	1	ΠΑΠΑΘΑΝΑΣΟΠΟΥΛΟΥ	22	22.0	False	medium
neither-known	ΒΥΝΚΟΥ	1	ΒΥΝΙΟΥ	22	22.0	False	medium
neither-known	ΕΛΕΥΩ	1	ΕΛΕΥΘ	21	21.0	False	medium
neither-known	ΔΟΓΓΑΝΙΚΟ	1	ΛΟΓΓΑΝΙΚΟ	21	21.0	False	medium
neither-known	ΣΚΡΟΥΜΠΟΛΟΥ	1	ΣΚΡΟΥΜΠΕΛΟΥ	21	21.0	False	medium
neither-known	ΒΟΝΤΟΥ	1	ΒΟΝΙΟΥ	20	20.0	False	medium
